"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Number of Comments","Opened","Priority","OS","Hardware","Votes"
482931,"Platform","Ant","platform-ant-inbox","NEW"," ---","fasfsdfsdf","2015-11-24 11:57:27",,1,"2015-11-24 11:57:27","P3","Windows 7","PC",0
482916,"Platform","Ant","platform-ant-inbox","NEW"," ---","aaaa","2015-11-24 10:10:32",,1,"2015-11-24 10:10:32","P3","Windows 7","PC",0
482216,"Platform","Ant","platform-ant-inbox","NEW"," ---",12,"2015-11-15 09:26:46",,1,"2015-11-15 09:26:46","P3","Windows 7","PC",0
478284,"Platform","Ant","platform-ant-inbox","NEW"," ---","NPE when opening Ant Editor","2015-09-24 08:05:41",,4,"2015-09-24 05:35:03","P3","Mac OS X","PC",0
476216,"Platform","Ant","platform-ant-inbox","NEW"," ---","Imported targets shown as imported from 'null' in External Tools Configurations dialog","2015-08-31 07:15:29",,1,"2015-08-31 07:06:48","P3","All","All",0
468354,"Platform","Ant","platform-ant-inbox","ASSIGNED"," ---","No diagnosis of alternate JRE","2015-05-29 02:30:31",,2,"2015-05-26 12:50:06","P3","Windows NT","PC",0
418778,"Platform","Ant","platform-ant-inbox","NEW"," ---","testDeferredBreakpointsSepVM failed","2015-05-25 01:09:16",,8,"2013-10-06 23:52:10","P3","Windows 7","PC",0
465676,"Platform","Ant","platform-ant-inbox","ASSIGNED"," ---","ANT editor: no shortcuts for comments","2015-04-28 09:06:50",,1,"2015-04-28 08:01:24","P3","Linux","PC",0
249969,"Platform","Ant","platform-ant-inbox","NEW"," ---","Ant View Encoding Bug","2015-04-22 03:03:04",,2,"2008-10-07 11:09:14","P3","Windows XP","PC",0
330741,"Platform","Ant","platform-ant-inbox","NEW"," ---","Wrong Behavior for ""Run Last Launched External Tool"" Key Binding","2014-10-20 09:01:50",,3,"2010-11-20 11:59:29","P3","Linux","PC",1
447230,"Platform","Ant","platform-ant-inbox","NEW"," ---","SteppingTests.testStepIntoMacrodefSepVM failed","2014-10-15 03:51:45",,2,"2014-10-15 03:50:48","P3","Linux-GTK","PC",0
446779,"Platform","Ant","platform-ant-inbox","NEW"," ---","Ant task input causing NoClassDefFoundError (org/eclipse/swt/widgets/Layout)","2014-10-13 03:28:04",,3,"2014-10-12 15:36:46","P3","Windows 7","PC",0
