"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Number of Comments","Opened","Priority","OS","Hardware","Votes"
535177,"Platform","User Assistance","Lars.Vogel","NEW"," ---","[Tips] Provide some platform tips","2018-06-12 18:28:48",,5,"2018-05-28 04:01:53","P3","Linux","PC",0
534347,"Platform","User Assistance","wim.jongman","NEW"," ---","[Tips] Initial usage feedback","2018-06-06 14:27:59","534360, 534376, 534889, 534890, 534984, 534989, 535048, 535072, 535152, 535154, 535155, 535176, 535218, 535391, 535585, 535612",15,"2018-05-04 04:24:49","P3","All","All",0
535420,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","[Tips] Remember the last read tip","2018-05-31 17:53:40",,1,"2018-05-31 17:53:24","P3","Windows 10","PC",0
535311,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","[Tips] Cache the next tip","2018-05-30 07:59:53",,2,"2018-05-29 17:20:18","P3","Linux","PC",0
535011,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","[Tips] Next / Previous Tip Button should switch to next provider if the end of the tips are reached","2018-05-28 04:01:04",,5,"2018-05-23 08:36:32","P3","Linux","PC",0
492036,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","[Intro/Welcome] Place intro themes into separate bundle","2018-05-25 04:06:17",,5,"2016-04-19 13:56:23","P3","All","All",0
534985,"Platform","User Assistance","wim.jongman","NEW"," ---","[Tips] Include tip tests in build","2018-05-23 04:03:21",,1,"2018-05-23 03:58:00","P3","All","All",0
534910,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","Tip of the Day provider icons look bad on Hi-DPI displays","2018-05-21 05:38:06",,1,"2018-05-21 05:38:06","P3","Mac OS X","PC",0
493667,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","[HiDPI] Help infocenter has a font scaling problem in IE at 200%","2018-05-07 16:21:00",,3,"2016-05-13 12:18:10","P3","Windows 7","PC",8
534374,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","Tips window nailed at top","2018-05-04 10:14:52",,1,"2018-05-04 10:14:52","P3","Windows 7","PC",0
491522,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","Replace Tips and Tricks dialog with an on the fly created HTML page","2018-04-30 09:32:44",,3,"2016-04-12 12:08:05","P3","All","All",0
532025,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","[Tips] TipProgressMonitorDialog","2018-04-29 16:07:33",,4,"2018-03-05 11:34:22","P3","All","All",0
532361,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","[HiDPI][Cheat Sheets] (Some) text in Cheat Sheets low-res and blurry","2018-03-12 16:40:45",,1,"2018-03-12 16:40:45","P3","Mac OS X","PC",0
529430,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","Cheatsheet text doesn't wrap; hard to read","2018-01-04 15:10:08",,1,"2018-01-04 15:10:08","P3","Mac OS X","PC",0
528879,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","[welcome][linux] No styling used on Overview page if non-ASCII character used in <introContent>","2017-12-18 05:03:44",,2,"2017-12-18 03:41:49","P3","Linux","PC",0
525646,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","""Unable to consume Lucene index"" for non englisch locales","2017-12-06 06:01:47",466829,5,"2017-10-05 15:05:24","P3","Windows NT","PC",0
519075,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","Every time i download it says i need to get version 1.8","2017-12-06 06:00:06",,4,"2017-07-01 23:26:27","P3","Mac OS X","Macintosh",0
374737,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","Using <enablement> to filter plugin can lead information center crash(memory leak)","2017-12-05 03:55:29",,5,"2012-03-20 05:37:33","P3","Windows XP","PC",0
527465,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","[hidpi][win32] Fonts inside help window way too large","2017-11-20 02:17:31",,2,"2017-11-20 02:05:22","P3","Windows 10","PC",0
526653,"Platform","User Assistance","Platform-UI-Inbox","ASSIGNED"," ---","Help Browser: Following hyperlinks to same-page anchors in help file does not move JAWS virtual cursor","2017-11-13 11:12:02",,4,"2017-10-30 14:22:23","P3","Windows 7","PC",0
525886,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","Eclipse jee neon 3 not opening just sends to a log file without sense","2017-10-11 12:46:06",,1,"2017-10-11 12:46:06","P3","Windows 10","PC",0
500263,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","[Welcome] Use HiDPI icons in ""Welcome"" view's toolbar","2017-10-10 13:30:42",,1,"2016-08-25 06:21:33","P3","Mac OS X","PC",0
331643,"Platform","User Assistance","platform-ua-inbox","NEW"," ---","[Browser] Built-in browser doesn't show favicon of current page","2017-09-21 17:07:34",,2,"2010-12-02 05:29:06","P3","Windows 7","PC",0
522190,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","Oxygen.1 looks for introData.xml in the wrong folder","2017-09-12 08:01:51",487713,1,"2017-09-12 08:01:51","P3","Linux","PC",0
521897,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","[UI][UA] Help Center can not be configured in any way regarding fonts etc.","2017-09-05 21:24:36",,1,"2017-09-05 21:24:36","P3","Windows 10","PC",0
521397,"Platform","User Assistance","Platform-UI-Inbox","ASSIGNED"," ---","IES 4.7.1 Platform Doc TCT #33 Missing Page","2017-08-25 09:23:39",,2,"2017-08-24 16:00:27","P4","All","All",0
496646,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","Jasper compilation error, can't display Help with Java SE 9","2017-06-21 05:26:41",,5,"2016-06-23 08:47:33","P3","Windows 7","PC",0
518025,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","Installing","2017-06-19 04:12:31",,3,"2017-06-08 14:48:15","P3","Windows 10","PC",0
517473,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","[Intro] Fix spurious warnings from BundleUtil.getResolvedResourceLocation()","2017-05-31 11:32:46",,1,"2017-05-30 16:53:50","P3","All","All",0
219661,"Platform","User Assistance","platform-ua-inbox","NEW"," ---","[Forms] Consider integrating contribution that links IMessageManager with databinding's IObservablesListener","2017-05-31 08:42:47",,31,"2008-02-20 14:48:17","P3","Windows XP","PC",14
501249,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","[Graphics] Update plug-ins in eclipse.platform.ua with png files and HDPI files","2017-05-26 09:46:31",,14,"2016-09-12 08:55:02","P3","Linux","PC",0
491523,"Platform","User Assistance","bsd","NEW"," ---","Add a 'Tips and Tricks' to the Welcome page","2017-05-26 09:46:11",,18,"2016-04-12 12:12:09","P3","All","All",0
355810,"Platform","User Assistance","platform-ua-inbox","REOPENED"," ---","[Webapp] Eclipse Help System does not send the HTTP 404 response code when a topic is missing","2017-05-26 09:45:15",,10,"2011-08-25 05:36:12","P3","All","All",0
517280,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","[cheat sheets] Help icons in Cheat Sheet view show wrong background","2017-05-26 03:59:28",,1,"2017-05-26 03:59:28","P3","Mac OS X","PC",0
276660,"Platform","User Assistance","platform-ua-inbox","NEW"," ---","[Forms] Form.setMessage causes the whole form relayout which attributes approx to 2/3 of the time we spend in this call","2017-05-21 09:48:00",510232,6,"2009-05-18 03:25:59","P3","Windows XP","PC",1
516556,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","Need to change title bar background in welcome page","2017-05-12 04:23:05",,2,"2017-05-12 04:22:20","P3","Windows 7","PC",0
516192,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","Download Not Available","2017-05-04 12:12:55",,1,"2017-05-04 12:12:55","P3","Windows All","PC",0
515711,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","'Updating Software' has encountered a problem.(Just tried to do an update and got a bunch of errors.)","2017-04-24 15:34:37",,1,"2017-04-24 15:34:37","P3","Linux","PC",0
515574,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","Add a reference to @EclipseJavaIDE Twitter account to Welcome page","2017-04-21 08:03:01",,1,"2017-04-21 07:59:14","P3","Linux","PC",0
512390,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","Exact phrase match search fails sometimes in infocenter, search index apparently corrupt","2017-02-23 14:40:05",,3,"2017-02-18 12:54:45","P3","Windows 7","PC",0
501718,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","Modernize the Eclipse Help system L&F","2017-01-27 19:57:19",,2,"2016-09-19 08:53:38","P3","All","All",1
311916,"Platform","User Assistance","platform-ua-inbox","NEW"," ---","[Forms] FormEditor focus behavior ignores IManagedForm for IFormPage pages","2016-12-20 11:33:33",,3,"2010-05-06 12:00:35","P3","Windows XP","PC",0
509105,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","Exception thrown when stopping standalone info center","2016-12-13 04:35:34",,1,"2016-12-12 15:01:32","P3","Linux","PC",0
106448,"Platform","User Assistance","platform-ua-inbox","NEW"," ---","[Help] Modal dialog in eclipse steal focus from the Help window too!","2016-11-21 12:24:29",95478,21,"2005-08-09 05:31:51","P3","All","All",0
505919,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","[Intro] Layout is broken if home or start page is configured explicitly","2016-10-13 12:52:17",,2,"2016-10-13 12:51:55","P3","All","All",0
505917,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","[Intro] Clicking link to minimized page does nothing in standby mode","2016-10-13 12:22:51",,1,"2016-10-13 12:22:51","P3","All","All",0
501956,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","Not able to download birt reports in Eclipse Neon","2016-09-22 00:57:23",,1,"2016-09-22 00:57:23","P3","Windows NT","PC",0
500639,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","[Intro] Themes other than Solstice (Circles, Purple Mesh, Slate) look broken","2016-09-01 04:32:01",,1,"2016-09-01 04:32:01","P3","Mac OS X","PC",0
500544,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","WSW46 TCT #18 & 19 - Welcome page issues","2016-08-31 15:09:39",,7,"2016-08-30 17:55:19","P3","Windows 7","PC",0
500268,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","[Help] Run creation of index once help system is opened not at the first search","2016-08-25 07:10:02",,1,"2016-08-25 07:09:50","P3","Linux","PC",0
499734,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","Web Search does not work in Help view when an external web browser is used","2016-08-16 08:01:56",,2,"2016-08-16 07:56:50","P3","Windows 7","PC",0
498094,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","[HiDPI] Help window with huge fonts and cut toolbar on 4K screen with scaling factor 150%","2016-07-22 03:32:33",,2,"2016-07-18 16:05:12","P3","Windows 10","PC",6
498270,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","[Intro] Layout broken on Windows 7","2016-07-21 06:45:03",,1,"2016-07-21 06:45:03","P3","Windows 7","PC",0
492993,"Platform","User Assistance","bsd","NEW"," ---","Welcome page title hidden on magnification","2016-05-19 08:53:54",,5,"2016-05-04 09:08:45","P3","Windows 7","PC",0
493619,"Platform","User Assistance","platform-doc-inbox","ASSIGNED"," ---","NPE occurs when select ""Open"" context menu on a command entry in ""Related Topic"" tab","2016-05-13 09:23:27",,2,"2016-05-13 07:41:52","P3","Windows 7","PC",0
493624,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","NPE occurs when select ""Open in Help Contents"" context menu on a command entry in ""Related Topic"" tab","2016-05-13 08:10:07",,2,"2016-05-13 08:06:26","P3","Windows 7","PC",0
140040,"Platform","User Assistance","platform-ua-inbox","NEW"," ---","[Intro] Samples need PDE to work","2016-02-19 04:31:10",,4,"2006-05-03 14:13:11","P3","Windows XP","PC",0
487395,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","Eclipse does not run anymore","2016-02-13 22:35:32",,3,"2016-02-06 16:03:56","P3","Windows NT","PC",0
123289,"Platform","User Assistance","platform-ua-inbox","NEW"," ---","[Browser] Web browser preference page should disable external browsers when internal selected","2016-02-05 13:53:11",,6,"2006-01-10 13:34:18","P3","Windows XP","PC",2
